recipe_tag	coefficient
bias	0.4663809055677908
alfredo	0.01567766952659658
almond	0.0187094692140554
american	-0.03950162249878428
appetizer	0.11281491524635534
appetizers	-0.009258335296948384
apple	-0.010045080942239056
asiancuisine	-0.04246088504877213
asparagus	0.03461478568733332
avocado	0.02445865735692758
bacon	0.301967440497073
baked	0.04504827147417586
bakeddishes	-0.22515753619701648
bakery	-0.030526176711013587
baking	0.0031557507091522635
beans	0.01206867496353071
beef	-0.07948871740088224
bellpeppers	-0.008594685412471098
berries	0.06920929906554105
blackbeans	-0.008594685412471098
blackvinegar	-0.019648558175808427
blueberry	0.09344552385047644
boiledeggs	0.020447839201284488
bokchoy	0.020447839201284488
braided	0.013418782754135022
bread	0.022351116737797036
breaded	0.04961395782282032
breakfast	-0.07139045428815377
breakfastpastry	0.04684938685997481
brioche	0.06513303156633131
broiling	0.012343415237279476
brownies	0.156931942886373
brownsugar	0.04232872518641653
brunch	-0.15249595108175906
burger	0.054380792110506816
burritos	0.031024035278608007
buttery	0.027435046922650207
cake	-0.10874769067622517
carrots	0.020447839201284488
casserole	-0.051124352317156264
celebration	0.0009814289697208402
cheese	-0.05171614312165765
cheesy	0.08359599256752175
cherry	-0.03752524552394933
chicken	0.07130983603910263
chickpeas	0.054380792110506816
chilioil	0.035000220670556
chilipowder	-0.008594685412471098
chinese	-0.029511976006981654
chinesecookingwine	0.054648778846364425
chinesecuisine	-0.06831710091886456
chocolate	0.0020075060348749216
chocolatechip	0.12794254825771115
chocolatecroissant	0.04684938685997481
christmas	-0.01450405432736468
cilantro	0.08012250283520818
cinnamon	-0.04814731405671019
citrus	0.03441463950298435
classic	0.010594247395795106
cloves	-0.02405267317652665
cobbler	-0.016042129219443275
cocoapowder	0.026514506445114636
coffee	-0.07947875291710474
cold	-0.029511976006981654
coldnoodles	-0.004717994796586307
comfortfood	0.16212552835080968
condiment	-0.015645858315673535
cookies	0.11483023321105208
corn	0.0009814289697208402
cranberry	0.03337637729367603
creamcheese	-0.038506348682862075
creamy	-0.0014628746633903208
crisp	0.19913591148194554
crispy	0.08232007343981725
croissant	-0.07947875291710474
croissants	-0.10176435824175419
crumble	-0.039318290569156686
crust	-0.02405267317652665
cucumber	-0.004717994796586307
cumin	-0.008594685412471098
cupcakes	0.05188366136787593
custard	0.041597026413959244
custardy	-0.0009507399489155399
customizable	0.05679110585743321
danish	-0.038506348682862075
dashibroth	0.013634761497992729
dates	0.05674763445548871
decadent	0.10412970245151927
dessert	0.14103854478252711
dinner	0.05184545765757555
dip	-0.024740180519575113
donuts	0.012831746297200113
easterneuropean	0.013418782754135022
easy	-0.009702448078794793
easydinner	0.024644682290916552
egg	0.08868956283623686
eggs	-0.04394810607435853
eggwhites	0.05881915452967948
fajitaseasoning	-0.0268616581750184
fall	0.01955929866891177
familyfriendly	-0.026479670026239712
fastfood	0.04961395782282032
fetacheese	0.120266150189894
filling	0.1095873034639243
fingerfood	0.0460136320581017
flaky	-0.01343111597758978
french	-0.0516441415537916
frenchcuisine	-0.16081453781912303
frenchpastry	-0.06315554276814352
fresh	0.08229624511769819
fried	0.1291333735326289
friedfood	0.09407639189726258
friedrice	0.05279619760649109
fries	-0.000780983334382973
frosting	-0.05686402930834924
fruit	0.028890268358277738
fudgy	0.09071091969738425
gamedayfood	0.024906154149555923
ganache	-0.1352621971213398
garlic	0.01544114006855088
ginger	0.054648778846364425
glutenfree	-0.013167302890599933
goldenbrown	0.0236414512380658
greenbeans	0.016049415061914565
greenonion	-0.039207638777813546
greenonions	0.051471874479892495
grill	0.054380792110506816
grilled	0.019614542182394328
grilling	0.012343415237279476
groundbeef	0.01765336982700378
gruyere	0.02025730984590658
gruyerecheese	-0.004084217138246493
guacamole	-0.023387668623958788
hamandcheese	-0.038506348682862075
hamburger	0.033505783651706894
handheld	0.05679110585743321
handtorndough	-0.031201886194319465
hawaii	0.033505783651706894
hawaiian	0.038709819958858464
healthy	0.13511253659602915
herbs	-0.027396167367494062
holiday	-0.013522625357643842
homemade	0.05055266910115035
indulgent	0.05188366136787593
italian	0.06858802416077114
italiancuisine	0.01567766952659658
jalapenos	-0.000780983334382973
japanesecuisine	0.06695452008942863
juicy	-0.013307516441104778
ketchup	0.033505783651706894
keto	0.030911306749248017
kidfriendly	0.0460136320581017
koreancuisine	-0.031201886194319465
laminateddough	-0.030526176711013587
lasagna	0.16788572040062044
lattice	-0.02405267317652665
lettuce	0.0314283456163737
lime	0.025473723988843754
loadednachos	0.025687137483938895
lowcarb	0.030911306749248017
lunch	0.05184545765757555
macandcheese	-0.000512134714474781
maple	0.012831746297200113
maplesyrup	0.1106765782519622
masa	0.0009814289697208402
mayonnaise	0.033505783651706894
meal	0.04961395782282032
mealprep	0.1248715413448519
meat	0.11818854373487704
meatsauce	-0.0015114420889941558
mexican	0.013360921474780019
mexicancuisine	-0.02136220524897564
mexicanfood	0.025687137483938895
middleeastern	-0.08465921943068438
miso	0.020447839201284488
muffins	0.1248715413448519
mushroom	0.06542423362821558
mushrooms	0.020447839201284488
nachos	-0.09131100430322375
noodles	-0.016288614792638663
noodlesoup	0.020447839201284488
nori	0.038709819958858464
numbing	0.005980236103308292
nutmeg	0.01827605200988988
oat	0.07065684971783907
oats	-0.005551706434624175
onion	0.00953245095822219
onions	-0.035456343587489496
onthego	0.038709819958858464
oven	0.04684938685997481
oysters	0.08986937492873591
pacificislands	0.033505783651706894
pancakes	0.1106765782519622
parmesan	0.02025730984590658
partyfood	0.032220867431008736
pasta	0.085265001061887
pastasauce	-0.0015114420889941558
pastry	-0.16089386968899355
pastrycrust	-0.0031334771893309524
peach	0.03253416290687213
peanutbutter	0.07355340713290912
peanutdressing	-0.07695052902999937
peanuts	-0.019648558175808427
peppers	-0.0268616581750184
pickledvegetables	-0.020539247184117666
pie	-0.06355429567531093
piecrust	0.120266150189894
pork	-0.019648558175808427
porkbelly	0.020447839201284488
potatoes	0.031024035278608007
protein	0.1248715413448519
puffpastry	0.04684938685997481
quiche	0.021386112790173537
quick	0.03453919354724713
ramen	0.020447839201284488
refreshing	0.022776418096798368
relish	0.03441463950298435
rhubarb	0.022776418096798368
rice	0.038709819958858464
ricevinegar	-0.039207638777813546
rich	0.10412970245151927
ricotta	0.08583307729689274
salad	-0.13234638777242236
salsa	-0.04341761154235458
salty	-0.000512134714474781
sandwich	0.08868956283623686
sauce	-0.04891869383034903
savory	0.08510674222712121
scallions	0.035000220670556
scallops	-0.013891241469312567
seafood	0.05711966250238335
sesame	-0.029511976006981654
sesameoil	-0.039207638777813546
sesameseeds	-0.039207638777813546
shrimp	0.012343415237279476
sichuancuisine	-0.013668322072500134
sichuanpeppercorns	0.035000220670556
sidedish	-0.020181409824148892
sidedishes	0.016049415061914565
skewers	0.012343415237279476
smoky	0.03897654645091153
snack	-0.02085542893150713
snacks	0.015268431727531591
sobanoodles	-0.04246088504877213
soft	0.0236414512380658
souffle	-0.27382979879952374
soup	0.0016700331958319527
sourcream	-0.09550578373138631
southern	-0.018018506194278222
southerncuisine	0.08986937492873591
soysauce	0.06903661870051803
spam	0.07221560361056537
spices	-0.027396167367494062
spicy	0.03645008420726017
spicyfood	0.004207016968526673
spinach	0.1222585809623711
spring	-0.18659461848513162
steamed	0.0009814289697208402
stirfry	-0.04866854274305613
strawberry	0.022776418096798368
streetfood	-0.10060049246130595
stuffedpeppers	0.004207016968526673
summer	0.04061731677908087
sushi	0.038709819958858464
sweet	-0.03291556298765766
sweetandsalty	-0.013112315046659067
sweetandsavory	0.12350832454916232
sweettreat	-0.032629366057129926
taco	-0.040516957115218445
tacos	-0.015941273030621563
tangy	0.008272363769433688
tart	-0.04891869383034903
tea	-0.07947875291710474
tempura	0.013634761497992729
tender	0.07325540906088612
texmex	-0.0268616581750184
thanksgiving	-0.01450405432736468
toast	0.08868956283623686
tomato	0.13190867070166315
tomatoes	-0.09538448085461951
tomatosauce	0.05743986818761104
tortilla	-0.008594685412471098
tortillabowl	-0.040516957115218445
tortillachips	-0.014878901627204545
tortillas	0.0041623771035896075
traditional	0.0009814289697208402
twisted	0.013418782754135022
udonnoodles	0.013634761497992729
vanilla	0.05881915452967948
vanillaicecream	-0.005551706434624175
vegan	0.04362292618726141
vegetables	-0.16500030707295998
vegetarian	-0.08204438674722564
warm	0.04684938685997481
whippedcream	-0.005551706434624175
winter	0.01955929866891177
yeastdough	0.013418782754135022
